 ,Label,Area,Mean,StdDev,Min,Max,%Area,MinThr,MaxThr
1,1_A_1 - White Light.tif,1228800,15.864,24.389,0,169,59.843,0,255
2,1_A_2 - White Light.tif,1228800,22.264,35.698,0,235,53.654,0,255
3,1_A_3 - White Light.tif,1228800,15.969,24.959,0,207,60.568,0,255
4,1_A_4 - White Light.tif,1228800,69.166,44.485,0,230,94.858,0,255
5,1_A_5 - White Light.tif,1228800,19.177,26.076,0,179,74.292,0,255
6,1_A_6 - White Light.tif,1228800,61.544,36.752,0,224,98.740,0,255
7,1_B_1 - White Light.tif,1228800,27.828,30.896,0,195,75.919,0,255
8,1_B_2 - White Light.tif,1228800,17.798,32.151,0,192,45.353,0,255
9,1_B_3 - White Light.tif,1228800,14.760,26.776,0,172,44.311,0,255
10,1_B_4 - White Light.tif,1228800,76.026,47.613,0,215,92.794,0,255
11,1_B_5 - White Light.tif,1228800,65.869,46.254,0,238,94.114,0,255
12,1_B_6 - White Light.tif,1228800,73.182,44.580,0,237,97.283,0,255
13,1_C_1 - White Light.tif,1228800,34.307,35.095,0,224,80.892,0,255
14,1_C_2 - White Light.tif,1228800,14.406,33.689,0,206,29.023,0,255
15,1_C_3 - White Light.tif,1228800,15.344,29.254,0,162,39.762,0,255
16,1_C_4 - White Light.tif,1228800,27.977,32.970,0,201,70.579,0,255
17,1_C_5 - White Light.tif,1228800,47.094,40.260,0,236,87.729,0,255
18,1_C_6 - White Light.tif,1228800,68.114,41.732,0,223,96.802,0,255
19,1_D_1 - White Light.tif,1228800,37.336,40.184,0,220,73.317,0,255
20,1_D_2 - White Light.tif,1228800,18.992,34.884,0,197,41.051,0,255
21,1_D_3 - White Light.tif,1228800,17.853,33.640,0,212,39.761,0,255
22,1_D_4 - White Light.tif,1228800,41.333,46.030,0,195,70.231,0,255
23,1_D_5 - White Light.tif,1228800,52.379,42.262,0,244,89.714,0,255
24,1_D_6 - White Light.tif,1228800,71.856,44.070,0,212,95.875,0,255
25,2_A_1 - White Light.tif,1228800,21.066,30.013,0,210,62.644,0,255
26,2_A_2 - White Light.tif,1228800,37.861,40.003,0,194,74.145,0,255
27,2_A_3 - White Light.tif,1228800,34.519,35.755,0,196,76.881,0,255
28,2_A_4 - White Light.tif,1228800,52.763,39.129,0,226,93.057,0,255
29,2_B_1 - White Light.tif,1228800,39.557,39.896,0,248,82.838,0,255
30,2_B_2 - White Light.tif,1228800,43.627,38.656,0,224,83.347,0,255
31,2_B_3 - White Light.tif,1228800,61.013,57.860,0,231,79.831,0,255
32,2_B_4 - White Light.tif,1228800,53.255,47.965,0,216,80.096,0,255
33,2_C_1 - White Light.tif,1228800,50.626,43.500,0,229,85.100,0,255
34,2_C_2 - White Light.tif,1228800,49.189,45.054,0,209,82.070,0,255
35,2_C_3 - White Light.tif,1228800,30.148,31.437,0,213,80.573,0,255
36,2_C_4 - White Light.tif,1228800,48.394,37.150,0,218,92.613,0,255
37,2_D_1 - White Light.tif,1228800,37.817,34.851,0,201,85.040,0,255
38,2_D_2 - White Light.tif,1228800,63.229,56.724,0,229,82.630,0,255
39,2_D_3 - White Light.tif,1228800,56.768,54.920,0,241,80.657,0,255
40,2_D_4 - White Light.tif,1228800,51.864,37.903,0,205,92.192,0,255
